history_id,claim_id,status,change_timestamp
1,1,OPEN,2024-09-28 02:33:45
2,1,IN_REVIEW,2024-09-30 02:33:45
3,1,APPROVED,2024-10-02 02:33:45
4,1,CLOSED,2024-10-04 02:33:45
5,2,OPEN,2024-06-01 14:16:06
6,2,IN_REVIEW,2024-06-03 14:16:06
7,2,REJECTED,2024-06-05 14:16:06
8,2,CLOSED,2024-06-07 14:16:06
9,3,OPEN,2025-03-10 10:13:22
10,3,IN_REVIEW,2025-03-12 10:13:22
11,3,REJECTED,2025-03-14 10:13:22
12,3,CLOSED,2025-03-16 10:13:22
13,4,OPEN,2025-03-09 20:52:52
14,4,IN_REVIEW,2025-03-11 20:52:52
15,4,REJECTED,2025-03-13 20:52:52
16,4,CLOSED,2025-03-15 20:52:52
17,5,OPEN,2025-03-20 07:34:59
18,5,IN_REVIEW,2025-03-22 07:34:59
19,5,REJECTED,2025-03-24 07:34:59
20,5,CLOSED,2025-03-26 07:34:59
21,6,OPEN,2026-02-05 09:52:08
22,6,IN_REVIEW,2026-02-07 09:52:08
23,6,REJECTED,2026-02-09 09:52:08
24,6,CLOSED,2026-02-11 09:52:08
25,7,OPEN,2024-07-18 14:23:48
26,7,IN_REVIEW,2024-07-20 14:23:48
27,7,REJECTED,2024-07-22 14:23:48
28,7,CLOSED,2024-07-24 14:23:48
29,8,OPEN,2024-08-14 14:21:45
30,8,IN_REVIEW,2024-08-16 14:21:45
31,8,REJECTED,2024-08-18 14:21:45
32,8,CLOSED,2024-08-20 14:21:45
33,9,OPEN,2024-05-21 23:26:28
34,9,IN_REVIEW,2024-05-23 23:26:28
35,9,APPROVED,2024-05-25 23:26:28
36,9,CLOSED,2024-05-27 23:26:28
37,10,OPEN,2025-03-26 00:34:01
38,10,IN_REVIEW,2025-03-28 00:34:01
39,10,APPROVED,2025-03-30 00:34:01
40,10,CLOSED,2025-04-01 00:34:01
41,11,OPEN,2024-09-16 06:19:59
42,11,IN_REVIEW,2024-09-18 06:19:59
43,11,APPROVED,2024-09-20 06:19:59
44,11,CLOSED,2024-09-22 06:19:59
45,12,OPEN,2025-10-27 19:32:00
46,12,IN_REVIEW,2025-10-29 19:32:00
47,12,APPROVED,2025-10-31 19:32:00
48,12,CLOSED,2025-11-02 19:32:00
49,13,OPEN,2024-07-17 21:29:01
50,13,IN_REVIEW,2024-07-19 21:29:01
51,13,APPROVED,2024-07-21 21:29:01
52,13,CLOSED,2024-07-23 21:29:01
53,14,OPEN,2026-04-03 16:52:48
54,14,IN_REVIEW,2026-04-05 16:52:48
55,14,APPROVED,2026-04-07 16:52:48
56,14,CLOSED,2026-04-09 16:52:48
